ano,pilotos,construtores,Grand_prix,Duração
2013,Maldonado,Williams,Australian Grand Prix,12.897
2013,Hamilton,Mercedes,Australian Grand Prix,13.173
2013,Maldonado,Williams,Australian Grand Prix,13.186
2013,P泰rez,McLaren,Australian Grand Prix,13.201
2013,Maldonado,Williams,Australian Grand Prix,13.206
2013,Massa,Ferrari,Australian Grand Prix,13.259
2013,Maldonado,Williams,Australian Grand Prix,13.266
2013,Vettel,Red Bull,Australian Grand Prix,13.335
2013,P泰rez,McLaren,Australian Grand Prix,13.9
2013,Maldonado,Williams,Australian Grand Prix,13.925
2014,Maldonado,Lotus F1,Australian Grand Prix,12.897
2014,Hamilton,Mercedes,Australian Grand Prix,13.173
2014,Maldonado,Lotus F1,Australian Grand Prix,13.186
2014,P泰rez,Force India,Australian Grand Prix,13.201
2014,Maldonado,Lotus F1,Australian Grand Prix,13.206
2014,Massa,Williams,Australian Grand Prix,13.259
2014,Maldonado,Lotus F1,Australian Grand Prix,13.266
2014,Vettel,Red Bull,Australian Grand Prix,13.335
2014,P泰rez,Force India,Australian Grand Prix,13.9
2014,Maldonado,Lotus F1,Australian Grand Prix,13.925
2015,Maldonado,Lotus F1,Australian Grand Prix,12.897
2015,Nasr,Sauber,Australian Grand Prix,13
2015,Hamilton,Mercedes,Australian Grand Prix,13.173
2015,Maldonado,Lotus F1,Australian Grand Prix,13.186
2015,P泰rez,Force India,Australian Grand Prix,13.201
2015,Maldonado,Lotus F1,Australian Grand Prix,13.206
2015,Massa,Williams,Australian Grand Prix,13.259
2015,Maldonado,Lotus F1,Australian Grand Prix,13.266
2015,Vettel,Ferrari,Australian Grand Prix,13.335
2015,P泰rez,Force India,Australian Grand Prix,13.9
2016,Nasr,Sauber,Australian Grand Prix,13
2016,Hamilton,Mercedes,Australian Grand Prix,13.173
2016,P泰rez,Force India,Australian Grand Prix,13.201
2016,Massa,Williams,Australian Grand Prix,13.259
2016,Vettel,Ferrari,Australian Grand Prix,13.335
2016,P泰rez,Force India,Australian Grand Prix,13.9
2016,P泰rez,Force India,Australian Grand Prix,14.089
2016,H蘝lkenberg,Force India,Australian Grand Prix,14.128
2016,Button,McLaren,Australian Grand Prix,14.501
2016,Massa,Williams,Australian Grand Prix,14.919
2017,Hamilton,Mercedes,Australian Grand Prix,13.173
2017,P泰rez,Force India,Australian Grand Prix,13.201
2017,Massa,Williams,Australian Grand Prix,13.259
2017,Vettel,Ferrari,Australian Grand Prix,13.335
2017,P泰rez,Force India,Australian Grand Prix,13.9
2017,P泰rez,Force India,Australian Grand Prix,14.089
2017,H蘝lkenberg,Renault,Australian Grand Prix,14.128
2017,Button,McLaren,Monaco Grand Prix,14.501
2017,di Resta,Williams,Hungarian Grand Prix,14.538
2017,Massa,Williams,Australian Grand Prix,14.919